Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
Revenue,Community Wellbeing & Social Care,5105650543,29.01.2014,Drug Misuse - Adults,Payment to Private Contractors,35.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105650542,29.01.2014,Drug Misuse - Adults,Payment to Private Contractors,210.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105650541,29.01.2014,Drug Misuse - Adults,Payment to Private Contractors,210.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105650540,29.01.2014,Drug Misuse - Adults,Payment to Private Contractors,210.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647790,17.01.2014,Short Breaks,Payment to Private Contractors,40.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648441,22.01.2014,Community Support Officers,Vehicle Maintenance Costs,128.01,ISLANDWIDE WINDSCREENS
Revenue,Childrens Services,5105648442,22.01.2014,Pool Cars,Vehicle Maintenance Costs,231.30,ISLANDWIDE WINDSCREENS
Revenue,Economy & Environment,5105646974,15.01.2014,West Wight Landscape Partnership,Payment to Private Contractors,48.00,REDACTED PERSONAL DATA
Revenue,Economy & Environment,5105646973,15.01.2014,West Wight Landscape Partnership,Payment to Private Contractors,"5,000.00",REDACTED PERSONAL DATA
Revenue,Economy & Environment,5105647256,17.01.2014,A.O.N.B.,Consultants Fees,"2,475.00",REDACTED PERSONAL DATA
Revenue,Economy & Environment,5105646578,15.01.2014,A.O.N.B.,Consultants Fees,500.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105646136,10.01.2014,Court Work & Consultancy Services,Legal Fees - Other Parties,"4,523.00",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105647833,27.01.2014,Arts Projects,Professional Services,850.00,REDACTED PERSONAL DATA
Revenue,Resources,5105646380,10.01.2014,ICT Contracts,Computer Maintenance,200.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648274,24.01.2014,Support for Looked After Children,Support Children,350.00,LUCY MUNDY T/A ISLAND EQUUS
Revenue,Childrens Services,5105648297,24.01.2014,Support for Looked After Children,Support Children,227.50,LUCY MUNDY T/A ISLAND EQUUS
Revenue,Childrens Services,5105650074,29.01.2014,Clatterford Pupil Referral Unit (PRU),Professional Services,"1,455.00",LUCY MUNDY T/A ISLAND EQUUS
Revenue,Childrens Services,5105645243,03.01.2014,Clatterford Pupil Referral Unit (PRU),Professional Services,"1,440.00",LUCY MUNDY T/A ISLAND EQUUS
Revenue,Childrens Services,5105645243,03.01.2014,Clatterford Pupil Referral Unit (PRU),Professional Services,675.00,LUCY MUNDY T/A ISLAND EQUUS
Revenue,Childrens Services,5105648221,22.01.2014,Thompson House Tuition Centre (PRU),Client Expenses,300.00,LUCY MUNDY T/A ISLAND EQUUS
Revenue,Childrens Services,5105649059,24.01.2014,Thompson House Tuition Centre (PRU),Client Expenses,400.00,LUCY MUNDY T/A ISLAND EQUUS
Revenue,Childrens Services,5105648298,22.01.2014,Targeted Youth Support,Operational Equipment,150.00,LUCY MUNDY T/A ISLAND EQUUS
Revenue,Community Wellbeing & Social Care,5105651035,31.01.2014,Practice Teaching Training,Training,"2,492.00",REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648559,24.01.2014,Hub Coordinators,Training,345.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647252,17.01.2014,Education Participation Team,Cleaning Contracts,8.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647976,20.01.2014,LSCB (Local Safeguarding Childrens Board),Travel Expenses,210.00,ONE HOLYROOD
Revenue,Economy & Environment,5105647589,17.01.2014,West Wight Landscape Partnership,Payment to Private Contractors,100.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105647159,15.01.2014,Drug Misuse - Adults,Payment to Private Contractors,120.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648458,22.01.2014,Workforce Development Schools,Training,600.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105650490,29.01.2014,Workforce Development Schools,Training,532.50,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105650990,31.01.2014,Drug Misuse - Adults,Payment to Private Contractors,120.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105644121,15.01.2014,S17 Disabled Children,Transport of Clients,118.80,24-7 TAXIS
Revenue,Community Wellbeing & Social Care,5105648381,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,866.67,2K PROPERTY
Revenue,Economy & Environment,5105646123,10.01.2014,Medina Vending Machine Stock,Order Settlement,648.09,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105647187,17.01.2014,Medina Vending Machine Stock,Order Settlement,274.96,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105649023,27.01.2014,Medina Leisure Centre,Stock Purchases,387.53,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105646665,15.01.2014,Medina Leisure Centre,Stock Purchases,471.89,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105650961,31.01.2014,Medina Leisure Centre,Stock Purchases,357.33,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105650927,31.01.2014,Medina Leisure Centre,Stock Purchases,17.99,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105646631,15.01.2014,Gouldings Resource Centre,Catering Purchases,39.90,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105647158,15.01.2014,Gouldings Resource Centre,Catering Purchases,116.97,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105645671,15.01.2014,Gouldings Resource Centre,Catering Purchases,459.60,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105645671,15.01.2014,Gouldings Resource Centre,Catering Purchases,127.61,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105650489,29.01.2014,Gouldings Resource Centre,Catering Purchases,210.86,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105650489,29.01.2014,Gouldings Resource Centre,Catering Purchases,32.83,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105646997,15.01.2014,Westminster House,Catering Purchases,167.01,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105647024,15.01.2014,Westminster House,Catering Purchases,100.11,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105645694,29.01.2014,Westminster House,Catering Purchases,124.89,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105645697,29.01.2014,Westminster House,Catering Purchases,54.04,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105645712,15.01.2014,Westminster House,Catering Purchases,35.68,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105648854,27.01.2014,Westminster House,Catering Purchases,183.04,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105648856,27.01.2014,Westminster House,Catering Purchases,88.23,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105648857,27.01.2014,Westminster House,Catering Purchases,26.94,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105648992,27.01.2014,Gouldings Resource Centre,Catering Purchases,39.90,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105649020,27.01.2014,Gouldings Resource Centre,Catering Purchases,188.68,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105649020,27.01.2014,Gouldings Resource Centre,Catering Purchases,17.99,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105648080,27.01.2014,Gouldings Resource Centre,Catering Purchases,311.82,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105645414,08.01.2014,Ryde Sports Centre,Catering Purchases,263.74,3663 (BFS GROUP LTD)
Revenue,Childrens Services,5105647846,27.01.2014,North & East Provision,Catering Purchases,310.75,3663 (BFS GROUP LTD)
Revenue,Childrens Services,5105647846,27.01.2014,North & East Provision,Catering Purchases,48.60,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105650962,31.01.2014,Westridge Squash Courts,Stock Purchases,107.60,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105648353,27.01.2014,Westridge Squash Courts,Stock Purchases,56.49,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105649069,27.01.2014,Westridge Squash Courts,Stock Purchases,27.26,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105647569,17.01.2014,Westridge Squash Courts,Operational Equipment,67.78,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105645691,29.01.2014,Heights Vending Stock,Order Settlement,144.60,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105647567,17.01.2014,Heights Vending Stock,Order Settlement,403.54,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105647567,17.01.2014,Heights Vending Stock,Order Settlement,12.50,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105650960,31.01.2014,The Heights,Stock Purchases,211.50,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105650960,31.01.2014,The Heights,Stock Purchases,70.81,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105646678,15.01.2014,The Heights,Stock Purchases,212.93,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105646678,15.01.2014,The Heights,Stock Purchases,21.83,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105644139,08.01.2014,The Heights,Stock Purchases,56.36,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105644139,08.01.2014,The Heights,Stock Purchases,186.27,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105648322,27.01.2014,The Heights,Stock Purchases,229.45,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105648322,27.01.2014,The Heights,Stock Purchases,24.98,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105648557,27.01.2014,The Heights,Stock Purchases,76.48,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105649029,27.01.2014,The Heights,Stock Purchases,94.39,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105649029,27.01.2014,The Heights,Stock Purchases,12.50,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105649239,27.01.2014,The Heights,Stock Purchases,183.52,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105649239,27.01.2014,The Heights,Stock Purchases,40.71,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105645676,15.01.2014,The Heights,Stock Purchases,218.40,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105645676,15.01.2014,The Heights,Stock Purchases,12.34,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105650963,31.01.2014,The Heights,Stock Purchases,400.62,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105650963,31.01.2014,The Heights,Stock Purchases,12.50,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105645373,08.01.2014,Adelaide Resource Centre,Catering Purchases,147.36,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105645373,08.01.2014,Adelaide Resource Centre,Catering Purchases,4.84,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105647807,27.01.2014,Adelaide Resource Centre,Catering Purchases,67.68,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105647821,27.01.2014,Adelaide Resource Centre,Catering Purchases,324.67,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105647821,27.01.2014,Adelaide Resource Centre,Catering Purchases,27.75,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105647807,27.01.2014,Adelaide Resource Centre,Catering Purchases,11.54,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105647914,27.01.2014,Adelaide Resource Centre,Catering Purchases,101.42,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105647914,27.01.2014,Adelaide Resource Centre,Catering Purchases,7.75,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105647815,27.01.2014,Adelaide Resource Centre,Catering Purchases,8.13,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105647815,27.01.2014,Adelaide Resource Centre,Catering Purchases,205.86,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105645377,08.01.2014,Adelaide Resource Centre,Catering Purchases,289.22,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105645377,08.01.2014,Adelaide Resource Centre,Catering Purchases,15.89,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105650233,29.01.2014,Adelaide Resource Centre,Catering Purchases,518.66,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105650234,29.01.2014,Adelaide Resource Centre,Catering Purchases,116.39,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105650235,29.01.2014,Adelaide Resource Centre,Catering Purchases,157.13,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105650236,29.01.2014,Adelaide Resource Centre,Catering Purchases,27.96,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105650235,29.01.2014,Adelaide Resource Centre,Catering Purchases,19.99,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105650234,29.01.2014,Adelaide Resource Centre,Catering Purchases,2.42,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105650233,29.01.2014,Adelaide Resource Centre,Catering Purchases,41.83,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105650237,29.01.2014,Adelaide Resource Centre,Catering Purchases,131.79,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105650238,29.01.2014,Adelaide Resource Centre,Catering Purchases,156.27,3663 (BFS GROUP LTD)
Revenue,Community Wellbeing & Social Care,5105650238,29.01.2014,Adelaide Resource Centre,Catering Purchases,12.71,3663 (BFS GROUP LTD)
Revenue,Economy & Environment,5105644164,08.01.2014,Project Manager Waste Strategy,Consultants Fees,461.25,4 PROJECTS LIMITED
Revenue,Community Wellbeing & Social Care,5105648447,22.01.2014,Gouldings Resource Centre,Maintenance of Operational Equipment,211.03,A & M APPLIANCE CARE
Revenue,Community Wellbeing & Social Care,5105648454,22.01.2014,Gouldings Resource Centre,Consumable Cleaning Materials,150.00,A & M APPLIANCE CARE
Revenue,Childrens Services,5105646085,10.01.2014,Beaulieu House,Minor Works,144.60,A & M APPLIANCE CARE
Revenue,Childrens Services,5105645425,08.01.2014,Beaulieu House,Operational Equipment,"3,395.75",A & M APPLIANCE CARE
Revenue,Community Wellbeing & Social Care,5105646079,10.01.2014,Adelaide Resource Centre,Consumable Cleaning Materials,186.00,A & M APPLIANCE CARE
Revenue,Community Wellbeing & Social Care,5105651063,31.01.2014,Overbrook,Minor Works,137.90,A & M APPLIANCE CARE
Revenue,Community Wellbeing & Social Care,5105648450,24.01.2014,The Laurels,Minor Works,69.19,A & M APPLIANCE CARE
Revenue,Community Wellbeing & Social Care,5105648450,24.01.2014,Highmead,Minor Works,69.20,A & M APPLIANCE CARE
Revenue,Community Wellbeing & Social Care,5105649025,24.01.2014,Workforce Development - Early Years,Training,90.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649025,24.01.2014,Workforce Development - Early Years,Training,90.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105649025,24.01.2014,Workforce Development - Early Years,Training,90.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105651064,31.01.2014,Workforce Development - Early Years,Training,725.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647155,22.01.2014,Adult Social Care - Workforce Development,Training,725.00,REDACTED PERSONAL DATA
Revenue,Resources,5105649018,24.01.2014,Corporate Health & Safety,Professional Services,725.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648367,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,780.00,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650607,31.01.2014,Special Guardianship Order Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650607,31.01.2014,Special Guardianship Order Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648687,24.01.2014,Special Guardianship Order Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648687,24.01.2014,Special Guardianship Order Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645046,03.01.2014,Special Guardianship Order Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645046,03.01.2014,Special Guardianship Order Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645766,10.01.2014,Special Guardianship Order Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645766,10.01.2014,Special Guardianship Order Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647307,17.01.2014,Special Guardianship Order Costs,Support Children,132.69,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647307,17.01.2014,Special Guardianship Order Costs,Support Children,168.39,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645125,03.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648770,24.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645125,03.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650688,31.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648770,24.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645844,10.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647387,17.01.2014,Leaving Care Costs,Accommodation Costs - Service Users,57.50,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650688,31.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645844,10.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647387,17.01.2014,Leaving Care Costs,Support Children,120.89,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648376,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648376,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648376,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648376,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648376,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648376,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,510.25,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647281,17.01.2014,Adoption Costs,Support Children,186.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648661,24.01.2014,Adoption Costs,Support Children,186.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650581,31.01.2014,Adoption Costs,Support Children,186.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645740,10.01.2014,Adoption Costs,Support Children,186.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645329,06.01.2014,Adoption Costs,Support Children,186.49,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645805,10.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648730,24.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650648,31.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647348,17.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645086,03.01.2014,In-house Fostering,Boarding Out Allowances,221.13,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648378,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,780.00,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648365,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,789.01,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648365,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,835.08,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105648365,22.01.2014,Leaseholds by LA,Accommodation Costs - Leaseholder Payments,649.83,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105647276,17.01.2014,Adoption Costs,Support Children,87.15,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105648656,24.01.2014,Adoption Costs,Support Children,87.15,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645324,06.01.2014,Adoption Costs,Support Children,87.15,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105650576,31.01.2014,Adoption Costs,Support Children,87.15,REDACTED PERSONAL DATA
Revenue,Childrens Services,5105645735,10.01.2014,Adoption Costs,Support Children,87.15,REDACTED PERSONAL DATA
Revenue,Community Wellbeing & Social Care,5105651002,31.01.2014,Integrated Community Equipment Service,Fixtures and Fittings,75.00,A-1 GARAGE DOOR SPECIALISTS (IOW)
Revenue,Childrens Services,5105643945,17.01.2014,Beaulieu House,Minor Works,282.00,A-1 GARAGE DOOR SPECIALISTS (IOW)
Revenue,Community Wellbeing & Social Care,5105650183,29.01.2014,Ryde Library,Publications,135.30,AB NEWS
Revenue,Community Wellbeing & Social Care,5105647691,17.01.2014,Supporting People Older Persons,Payment to Private Contractors,"1,327.80",ABBEYFIELD WEST WIGHT SOCIETY
Revenue,Community Wellbeing & Social Care,5105649460,29.01.2014,Elderly Mentally Ill Residential Care,Charges from Independent Providers,"1,699.88",ACACIA CARE HOME
Revenue,Community Wellbeing & Social Care,5105649460,29.01.2014,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",ACACIA CARE HOME
Revenue,Community Wellbeing & Social Care,5105649460,29.01.2014,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",ACACIA CARE HOME
Revenue,Community Wellbeing & Social Care,5105649460,29.01.2014,Elderly Frail Residential Care,Charges from Independent Providers,"1,622.60",ACACIA CARE HOME
Revenue,Childrens Services,5105648488,24.01.2014,Parent Partnership,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,Youth & Community Service,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645567,10.01.2014,Youth & Community Service,Interview & recruitment expenses,6.00,ACCESS PERSONAL CHECKING SERVICES LTD
Revenue,Childrens Services,5105645566,10.01.2014,Youth & Community Service,Interview & recruitment expenses,44.00,ACCESS PERSONAL CHECKING SERVICES LTD
