Generated by opendatacommunities.org,2014-03-25T13:49:52+00:00
http://opendatacommunities.org/data/house-building/starts/tenure,"Permanent dwellings started, 2009/10 to 2012/13, England, District By Tenure "
Reference period,2012-2013

,,http://opendatacommunities.org/def/concept/general-concepts/tenure/all,http://opendatacommunities.org/def/concept/general-concepts/tenure/housingAssociations,http://opendatacommunities.org/def/concept/general-concepts/tenure/localAuthority,http://opendatacommunities.org/def/concept/general-concepts/tenure/privateEnterprise
http://statistics.data.gov.uk/id/statistical-geography/E07000086,E07000086 Eastleigh,340,80,0,260
http://statistics.data.gov.uk/id/statistical-geography/E07000087,E07000087 Fareham,220,30,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000088,E07000088 Gosport,190,80,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000089,E07000089 Hart,270,40,10,220
http://statistics.data.gov.uk/id/statistical-geography/E07000090,E07000090 Havant,170,50,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000091,E07000091 New Forest,110,10,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000092,E07000092 Rushmoor,50,10,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000093,E07000093 Test Valley,450,150,0,310
http://statistics.data.gov.uk/id/statistical-geography/E07000094,E07000094 Winchester,870,70,0,800
http://statistics.data.gov.uk/id/statistical-geography/E07000095,E07000095 Broxbourne,120,10,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000096,E07000096 Dacorum,250,40,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000097,E07000097 East Hertfordshire,210,30,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000098,E07000098 Hertsmere,260,30,0,230
http://statistics.data.gov.uk/id/statistical-geography/E07000099,E07000099 North Hertfordshire,90,10,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000101,E07000101 Stevenage,70,20,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000102,E07000102 Three Rivers,130,20,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000103,E07000103 Watford,230,40,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000105,E07000105 Ashford,100,0,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000106,E07000106 Canterbury,250,50,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000108,E07000108 Dover,70,20,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000109,E07000109 Gravesham,160,40,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000110,E07000110 Maidstone,240,40,0,200
http://statistics.data.gov.uk/id/statistical-geography/E07000112,E07000112 Shepway,90,0,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000113,E07000113 Swale,290,30,0,260
http://statistics.data.gov.uk/id/statistical-geography/E07000116,E07000116 Tunbridge Wells,150,30,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000117,E07000117 Burnley,260,0,0,260
http://statistics.data.gov.uk/id/statistical-geography/E07000118,E07000118 Chorley,430,20,0,420
http://statistics.data.gov.uk/id/statistical-geography/E07000119,E07000119 Fylde,250,20,0,230
http://statistics.data.gov.uk/id/statistical-geography/E07000121,E07000121 Lancaster,130,20,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000122,E07000122 Pendle,40,0,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000123,E07000123 Preston,70,20,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000124,E07000124 Ribble Valley,130,0,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000125,E07000125 Rossendale,180,0,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000126,E07000126 South Ribble,190,0,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000127,E07000127 West Lancashire,190,50,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000128,E07000128 Wyre,90,0,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000129,E07000129 Blaby,250,40,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000131,E07000131 Harborough,230,20,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000132,E07000132 Hinckley and Bosworth,350,80,0,270
http://statistics.data.gov.uk/id/statistical-geography/E07000133,E07000133 Melton,40,0,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000135,E07000135 Oadby and Wigston,10,0,0,10
http://statistics.data.gov.uk/id/statistical-geography/E07000136,E07000136 Boston,80,20,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000137,E07000137 East Lindsey,270,90,0,170
http://statistics.data.gov.uk/id/statistical-geography/E07000138,E07000138 Lincoln,180,10,0,170
http://statistics.data.gov.uk/id/statistical-geography/E07000139,E07000139 North Kesteven,210,20,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000140,E07000140 South Holland,250,50,0,200
http://statistics.data.gov.uk/id/statistical-geography/E07000141,E07000141 South Kesteven,390,10,0,380
http://statistics.data.gov.uk/id/statistical-geography/E07000142,E07000142 West Lindsey,150,10,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000143,E07000143 Breckland,320,10,0,310
http://statistics.data.gov.uk/id/statistical-geography/E07000144,E07000144 Broadland,120,10,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000145,E07000145 Great Yarmouth,80,20,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000146,E07000146 King's Lynn and West Norfolk,310,20,0,290
http://statistics.data.gov.uk/id/statistical-geography/E07000147,E07000147 North Norfolk,180,50,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000148,E07000148 Norwich,190,30,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000149,E07000149 South Norfolk,590,70,0,520
http://statistics.data.gov.uk/id/statistical-geography/E07000150,E07000150 Corby,290,40,0,240
http://statistics.data.gov.uk/id/statistical-geography/E07000152,E07000152 East Northamptonshire,330,70,0,260
http://statistics.data.gov.uk/id/statistical-geography/E07000153,E07000153 Kettering,200,30,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000154,E07000154 Northampton,530,170,30,330
http://statistics.data.gov.uk/id/statistical-geography/E07000155,E07000155 South Northamptonshire,240,60,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000156,E07000156 Wellingborough,70,0,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000163,E07000163 Craven,20,0,0,20
http://statistics.data.gov.uk/id/statistical-geography/E07000164,E07000164 Hambleton,110,30,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000165,E07000165 Harrogate,110,20,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000166,E07000166 Richmondshire,40,0,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000167,E07000167 Ryedale,150,10,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000168,E07000168 Scarborough,170,40,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000169,E07000169 Selby,180,10,0,170
http://statistics.data.gov.uk/id/statistical-geography/E07000170,E07000170 Ashfield,310,20,0,300
http://statistics.data.gov.uk/id/statistical-geography/E07000171,E07000171 Bassetlaw,220,0,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000172,E07000172 Broxtowe,60,0,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000174,E07000174 Mansfield,220,30,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000176,E07000176 Rushcliffe,220,30,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000177,E07000177 Cherwell,180,40,10,130
http://statistics.data.gov.uk/id/statistical-geography/E07000178,E07000178 Oxford,60,0,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000179,E07000179 South Oxfordshire,410,120,10,280
http://statistics.data.gov.uk/id/statistical-geography/E07000180,E07000180 Vale of White Horse,280,50,0,230
http://statistics.data.gov.uk/id/statistical-geography/E07000181,E07000181 West Oxfordshire,140,20,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000187,E07000187 Mendip,250,30,0,230
http://statistics.data.gov.uk/id/statistical-geography/E07000188,E07000188 Sedgemoor,340,30,0,310
http://statistics.data.gov.uk/id/statistical-geography/E07000189,E07000189 South Somerset,370,80,0,290
http://statistics.data.gov.uk/id/statistical-geography/E07000190,E07000190 Taunton Deane,510,70,0,440
http://statistics.data.gov.uk/id/statistical-geography/E07000191,E07000191 West Somerset,50,20,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000192,E07000192 Cannock Chase,190,40,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000193,E07000193 East Staffordshire,160,60,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000194,E07000194 Lichfield,180,20,0,170
http://statistics.data.gov.uk/id/statistical-geography/E07000196,E07000196 South Staffordshire,100,20,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000197,E07000197 Stafford,170,30,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000198,E07000198 Staffordshire Moorlands,120,50,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000199,E07000199 Tamworth,40,0,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000200,E07000200 Babergh,200,10,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000201,E07000201 Forest Heath,200,20,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000202,E07000202 Ipswich,110,0,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000203,E07000203 Mid Suffolk,290,10,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000204,E07000204 St Edmundsbury,180,20,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000205,E07000205 Suffolk Coastal,270,10,0,260
http://statistics.data.gov.uk/id/statistical-geography/E07000206,E07000206 Waveney,100,10,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000207,E07000207 Elmbridge,330,100,0,230
http://statistics.data.gov.uk/id/statistical-geography/E07000208,E07000208 Epsom and Ewell,370,60,0,320
http://statistics.data.gov.uk/id/statistical-geography/E07000209,E07000209 Guildford,100,0,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000210,E07000210 Mole Valley,60,10,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000211,E07000211 Reigate and Banstead,280,70,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000212,E07000212 Runnymede,90,0,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000213,E07000213 Spelthorne,180,50,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000214,E07000214 Surrey Heath,130,0,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000215,E07000215 Tandridge,250,70,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000216,E07000216 Waverley,70,20,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000217,E07000217 Woking,120,20,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000218,E07000218 North Warwickshire,30,0,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000219,E07000219 Nuneaton and Bedworth,220,20,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000220,E07000220 Rugby,390,70,110,210
http://statistics.data.gov.uk/id/statistical-geography/E07000221,E07000221 Stratford-on-Avon,230,70,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000222,E07000222 Warwick,170,50,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000223,E07000223 Adur,140,0,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000224,E07000224 Arun,310,,,
http://statistics.data.gov.uk/id/statistical-geography/E07000225,E07000225 Chichester,210,60,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000226,E07000226 Crawley,110,70,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000227,E07000227 Horsham,640,150,0,490
http://statistics.data.gov.uk/id/statistical-geography/E07000228,E07000228 Mid Sussex,,,0,
http://statistics.data.gov.uk/id/statistical-geography/E07000229,E07000229 Worthing,60,0,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000234,E07000234 Bromsgrove,160,70,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000235,E07000235 Malvern Hills,80,0,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000236,E07000236 Redditch,110,30,10,70
http://statistics.data.gov.uk/id/statistical-geography/E07000237,E07000237 Worcester,170,50,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000238,E07000238 Wychavon,460,130,0,330
http://statistics.data.gov.uk/id/statistical-geography/E07000239,E07000239 Wyre Forest,200,40,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000240,E07000240 St Albans,210,0,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000241,E07000241 Welwyn Hatfield,280,10,0,270
http://statistics.data.gov.uk/id/statistical-geography/E08000001,E08000001 Bolton,220,30,0,200
http://statistics.data.gov.uk/id/statistical-geography/E08000002,E08000002 Bury,140,20,0,130
http://statistics.data.gov.uk/id/statistical-geography/E08000003,E08000003 Manchester,870,40,0,830
http://statistics.data.gov.uk/id/statistical-geography/E08000004,E08000004 Oldham,320,140,0,180
http://statistics.data.gov.uk/id/statistical-geography/E08000005,E08000005 Rochdale,370,20,0,350
http://statistics.data.gov.uk/id/statistical-geography/E08000006,E08000006 Salford,780,0,0,780
http://statistics.data.gov.uk/id/statistical-geography/E08000007,E08000007 Stockport,90,30,0,60
http://statistics.data.gov.uk/id/statistical-geography/E08000008,E08000008 Tameside,220,50,0,170
http://statistics.data.gov.uk/id/statistical-geography/E08000010,E08000010 Wigan,340,0,0,340
http://statistics.data.gov.uk/id/statistical-geography/E08000011,E08000011 Knowsley,400,170,0,220
http://statistics.data.gov.uk/id/statistical-geography/E08000012,E08000012 Liverpool,870,110,0,760
http://statistics.data.gov.uk/id/statistical-geography/E08000013,E08000013 St. Helens,290,110,0,170
http://statistics.data.gov.uk/id/statistical-geography/E08000014,E08000014 Sefton,190,10,0,190
http://statistics.data.gov.uk/id/statistical-geography/E08000015,E08000015 Wirral,140,40,0,100
http://statistics.data.gov.uk/id/statistical-geography/E08000016,E08000016 Barnsley,710,10,0,700
http://statistics.data.gov.uk/id/statistical-geography/E08000017,E08000017 Doncaster,390,30,0,360
http://statistics.data.gov.uk/id/statistical-geography/E08000018,E08000018 Rotherham,690,70,70,550
http://statistics.data.gov.uk/id/statistical-geography/E08000019,E08000019 Sheffield,280,0,0,280
http://statistics.data.gov.uk/id/statistical-geography/E08000020,E08000020 Gateshead,560,0,10,550
http://statistics.data.gov.uk/id/statistical-geography/E08000021,E08000021 Newcastle upon Tyne,490,20,310,160
http://statistics.data.gov.uk/id/statistical-geography/E08000022,E08000022 North Tyneside,380,10,140,240
http://statistics.data.gov.uk/id/statistical-geography/E08000023,E08000023 South Tyneside,190,0,0,190
http://statistics.data.gov.uk/id/statistical-geography/E08000024,E08000024 Sunderland,420,130,0,300
http://statistics.data.gov.uk/id/statistical-geography/E08000025,E08000025 Birmingham,680,100,30,550
http://statistics.data.gov.uk/id/statistical-geography/E08000026,E08000026 Coventry,660,180,0,480
http://statistics.data.gov.uk/id/statistical-geography/E08000027,E08000027 Dudley,440,40,0,400
http://statistics.data.gov.uk/id/statistical-geography/E08000028,E08000028 Sandwell,390,50,0,330
http://statistics.data.gov.uk/id/statistical-geography/E08000029,E08000029 Solihull,230,40,0,190
http://statistics.data.gov.uk/id/statistical-geography/E08000030,E08000030 Walsall,380,30,0,350
http://statistics.data.gov.uk/id/statistical-geography/E08000031,E08000031 Wolverhampton,380,30,0,340
http://statistics.data.gov.uk/id/statistical-geography/E08000032,E08000032 Bradford,400,60,0,340
http://statistics.data.gov.uk/id/statistical-geography/E08000033,E08000033 Calderdale,220,60,0,160
http://statistics.data.gov.uk/id/statistical-geography/E08000034,E08000034 Kirklees,500,20,20,460
http://statistics.data.gov.uk/id/statistical-geography/E08000035,E08000035 Leeds,1340,50,0,1290
http://statistics.data.gov.uk/id/statistical-geography/E08000036,E08000036 Wakefield,850,260,0,600
http://statistics.data.gov.uk/id/statistical-geography/E09000001,E09000001 City of London,310,20,0,290
http://statistics.data.gov.uk/id/statistical-geography/E09000002,E09000002 Barking and Dagenham,460,210,0,240
http://statistics.data.gov.uk/id/statistical-geography/E09000003,E09000003 Barnet,850,450,0,400
http://statistics.data.gov.uk/id/statistical-geography/E09000004,E09000004 Bexley,290,40,0,260
http://statistics.data.gov.uk/id/statistical-geography/E09000005,E09000005 Brent,360,190,0,170
http://statistics.data.gov.uk/id/statistical-geography/E09000006,E09000006 Bromley,490,,,
http://statistics.data.gov.uk/id/statistical-geography/E09000007,E09000007 Camden,590,130,10,450
http://statistics.data.gov.uk/id/statistical-geography/E09000008,E09000008 Croydon,460,150,0,310
http://statistics.data.gov.uk/id/statistical-geography/E09000009,E09000009 Ealing,450,110,190,150
http://statistics.data.gov.uk/id/statistical-geography/E09000010,E09000010 Enfield,410,180,0,230
http://statistics.data.gov.uk/id/statistical-geography/E09000011,E09000011 Greenwich,710,120,0,600
