Generated by opendatacommunities.org,2014-03-25T13:49:43+00:00
http://opendatacommunities.org/data/house-building/starts/tenure,"Permanent dwellings started, 2009/10 to 2012/13, England, District By Tenure "
Reference period,2011-2012

,,http://opendatacommunities.org/def/concept/general-concepts/tenure/all,http://opendatacommunities.org/def/concept/general-concepts/tenure/housingAssociations,http://opendatacommunities.org/def/concept/general-concepts/tenure/localAuthority,http://opendatacommunities.org/def/concept/general-concepts/tenure/privateEnterprise
http://statistics.data.gov.uk/id/statistical-geography/E06000030,E06000030 Swindon,560,80,0,480
http://statistics.data.gov.uk/id/statistical-geography/E06000031,E06000031 Peterborough,670,200,0,470
http://statistics.data.gov.uk/id/statistical-geography/E06000032,E06000032 Luton,210,60,0,150
http://statistics.data.gov.uk/id/statistical-geography/E06000033,E06000033 Southend-on-Sea,180,30,0,150
http://statistics.data.gov.uk/id/statistical-geography/E06000034,E06000034 Thurrock,330,40,20,270
http://statistics.data.gov.uk/id/statistical-geography/E06000035,E06000035 Medway,530,120,0,410
http://statistics.data.gov.uk/id/statistical-geography/E06000036,E06000036 Bracknell Forest,390,40,0,350
http://statistics.data.gov.uk/id/statistical-geography/E06000037,E06000037 West Berkshire,210,0,0,210
http://statistics.data.gov.uk/id/statistical-geography/E06000038,E06000038 Reading,320,80,0,240
http://statistics.data.gov.uk/id/statistical-geography/E06000039,E06000039 Slough,210,80,0,120
http://statistics.data.gov.uk/id/statistical-geography/E06000040,E06000040 Windsor and Maidenhead,200,0,0,200
http://statistics.data.gov.uk/id/statistical-geography/E06000041,E06000041 Wokingham,290,10,0,280
http://statistics.data.gov.uk/id/statistical-geography/E06000042,E06000042 Milton Keynes,1230,350,0,880
http://statistics.data.gov.uk/id/statistical-geography/E06000043,E06000043 Brighton and Hove,110,0,0,110
http://statistics.data.gov.uk/id/statistical-geography/E06000044,E06000044 Portsmouth,410,30,30,340
http://statistics.data.gov.uk/id/statistical-geography/E06000045,E06000045 Southampton,370,10,0,360
http://statistics.data.gov.uk/id/statistical-geography/E06000046,E06000046 Isle of Wight,390,180,0,210
http://statistics.data.gov.uk/id/statistical-geography/E06000047,E06000047 County Durham,860,80,0,770
http://statistics.data.gov.uk/id/statistical-geography/E06000048,E06000048 Northumberland,500,70,0,430
http://statistics.data.gov.uk/id/statistical-geography/E06000049,E06000049 Cheshire East,500,80,0,420
http://statistics.data.gov.uk/id/statistical-geography/E06000051,E06000051 Shropshire,590,60,10,530
http://statistics.data.gov.uk/id/statistical-geography/E06000052,E06000052 Cornwall,1680,,,
http://statistics.data.gov.uk/id/statistical-geography/E06000053,E06000053 Isles of Scilly,0,0,0,0
http://statistics.data.gov.uk/id/statistical-geography/E06000054,E06000054 Wiltshire,1380,390,0,990
http://statistics.data.gov.uk/id/statistical-geography/E06000055,E06000055 Bedford,650,160,0,490
http://statistics.data.gov.uk/id/statistical-geography/E06000056,E06000056 Central Bedfordshire,960,190,0,760
http://statistics.data.gov.uk/id/statistical-geography/E07000004,E07000004 Aylesbury Vale,930,330,0,590
http://statistics.data.gov.uk/id/statistical-geography/E07000005,E07000005 Chiltern,270,90,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000006,E07000006 South Bucks,220,20,0,200
http://statistics.data.gov.uk/id/statistical-geography/E07000007,E07000007 Wycombe,330,50,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000008,E07000008 Cambridge,660,90,0,570
http://statistics.data.gov.uk/id/statistical-geography/E07000009,E07000009 East Cambridgeshire,250,20,0,240
http://statistics.data.gov.uk/id/statistical-geography/E07000010,E07000010 Fenland,200,10,0,200
http://statistics.data.gov.uk/id/statistical-geography/E07000011,E07000011 Huntingdonshire,480,70,0,410
http://statistics.data.gov.uk/id/statistical-geography/E07000026,E07000026 Allerdale,270,80,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000027,E07000027 Barrow-in-Furness,70,10,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000028,E07000028 Carlisle,240,30,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000029,E07000029 Copeland,100,30,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000030,E07000030 Eden,100,10,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000031,E07000031 South Lakeland,120,30,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000032,E07000032 Amber Valley,200,20,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000033,E07000033 Bolsover,60,0,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000034,E07000034 Chesterfield,140,10,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000035,E07000035 Derbyshire Dales,120,40,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000036,E07000036 Erewash,120,20,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000037,E07000037 High Peak,50,10,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000038,E07000038 North East Derbyshire,100,10,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000039,E07000039 South Derbyshire,260,10,0,250
http://statistics.data.gov.uk/id/statistical-geography/E07000040,E07000040 East Devon,360,80,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000041,E07000041 Exeter,120,10,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000042,E07000042 Mid Devon,270,40,0,230
http://statistics.data.gov.uk/id/statistical-geography/E07000043,E07000043 North Devon,120,10,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000044,E07000044 South Hams,180,30,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000045,E07000045 Teignbridge,310,30,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000046,E07000046 Torridge,160,0,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000047,E07000047 West Devon,60,0,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000048,E07000048 Christchurch,30,0,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000049,E07000049 East Dorset,150,0,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000050,E07000050 North Dorset,250,60,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000051,E07000051 Purbeck,70,10,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000052,E07000052 West Dorset,170,10,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000053,E07000053 Weymouth and Portland,80,60,0,20
http://statistics.data.gov.uk/id/statistical-geography/E07000061,E07000061 Eastbourne,20,0,0,20
http://statistics.data.gov.uk/id/statistical-geography/E07000062,E07000062 Hastings,110,10,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000063,E07000063 Lewes,80,0,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000064,E07000064 Rother,150,0,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000065,E07000065 Wealden,830,160,0,670
http://statistics.data.gov.uk/id/statistical-geography/E07000066,E07000066 Basildon,690,80,0,610
http://statistics.data.gov.uk/id/statistical-geography/E07000067,E07000067 Braintree,160,40,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000068,E07000068 Brentwood,220,20,0,200
http://statistics.data.gov.uk/id/statistical-geography/E07000069,E07000069 Castle Point,50,0,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000070,E07000070 Chelmsford,160,0,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000071,E07000071 Colchester,670,90,0,580
http://statistics.data.gov.uk/id/statistical-geography/E07000072,E07000072 Epping Forest,280,40,0,240
http://statistics.data.gov.uk/id/statistical-geography/E07000073,E07000073 Harlow,200,110,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000074,E07000074 Maldon,40,0,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000075,E07000075 Rochford,100,0,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000076,E07000076 Tendring,230,80,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000077,E07000077 Uttlesford,450,50,0,400
http://statistics.data.gov.uk/id/statistical-geography/E07000078,E07000078 Cheltenham,220,50,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000079,E07000079 Cotswold,430,150,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000080,E07000080 Forest of Dean,410,60,0,360
http://statistics.data.gov.uk/id/statistical-geography/E07000081,E07000081 Gloucester,360,40,0,310
http://statistics.data.gov.uk/id/statistical-geography/E07000082,E07000082 Stroud,400,80,0,330
http://statistics.data.gov.uk/id/statistical-geography/E07000083,E07000083 Tewkesbury,350,80,0,270
http://statistics.data.gov.uk/id/statistical-geography/E07000084,E07000084 Basingstoke and Deane,380,30,0,360
http://statistics.data.gov.uk/id/statistical-geography/E07000085,E07000085 East Hampshire,120,10,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000086,E07000086 Eastleigh,310,20,0,290
http://statistics.data.gov.uk/id/statistical-geography/E07000087,E07000087 Fareham,260,50,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000088,E07000088 Gosport,350,130,0,220
http://statistics.data.gov.uk/id/statistical-geography/E07000089,E07000089 Hart,180,30,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000090,E07000090 Havant,190,30,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000091,E07000091 New Forest,180,50,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000092,E07000092 Rushmoor,160,30,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000093,E07000093 Test Valley,620,250,0,380
http://statistics.data.gov.uk/id/statistical-geography/E07000094,E07000094 Winchester,300,40,0,260
http://statistics.data.gov.uk/id/statistical-geography/E07000095,E07000095 Broxbourne,170,0,0,170
http://statistics.data.gov.uk/id/statistical-geography/E07000096,E07000096 Dacorum,240,50,0,200
http://statistics.data.gov.uk/id/statistical-geography/E07000097,E07000097 East Hertfordshire,480,110,0,380
http://statistics.data.gov.uk/id/statistical-geography/E07000098,E07000098 Hertsmere,280,30,0,260
http://statistics.data.gov.uk/id/statistical-geography/E07000099,E07000099 North Hertfordshire,270,60,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000101,E07000101 Stevenage,70,0,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000102,E07000102 Three Rivers,200,20,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000103,E07000103 Watford,220,50,0,170
http://statistics.data.gov.uk/id/statistical-geography/E07000104,E07000104 Welwyn Hatfield,100,10,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000105,E07000105 Ashford,270,60,10,200
http://statistics.data.gov.uk/id/statistical-geography/E07000106,E07000106 Canterbury,630,60,30,540
http://statistics.data.gov.uk/id/statistical-geography/E07000107,E07000107 Dartford,330,50,0,270
http://statistics.data.gov.uk/id/statistical-geography/E07000109,E07000109 Gravesham,210,80,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000110,E07000110 Maidstone,650,330,0,310
http://statistics.data.gov.uk/id/statistical-geography/E07000112,E07000112 Shepway,130,0,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000113,E07000113 Swale,250,70,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000116,E07000116 Tunbridge Wells,130,40,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000117,E07000117 Burnley,100,0,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000119,E07000119 Fylde,60,0,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000121,E07000121 Lancaster,110,30,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000122,E07000122 Pendle,100,0,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000123,E07000123 Preston,80,40,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000124,E07000124 Ribble Valley,120,40,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000125,E07000125 Rossendale,40,0,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000126,E07000126 South Ribble,120,0,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000127,E07000127 West Lancashire,160,0,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000128,E07000128 Wyre,160,20,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000129,E07000129 Blaby,270,90,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000131,E07000131 Harborough,280,70,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000132,E07000132 Hinckley and Bosworth,180,10,0,170
http://statistics.data.gov.uk/id/statistical-geography/E07000133,E07000133 Melton,80,0,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000135,E07000135 Oadby and Wigston,20,0,0,20
http://statistics.data.gov.uk/id/statistical-geography/E07000136,E07000136 Boston,120,30,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000137,E07000137 East Lindsey,270,50,0,220
http://statistics.data.gov.uk/id/statistical-geography/E07000138,E07000138 Lincoln,340,40,0,300
http://statistics.data.gov.uk/id/statistical-geography/E07000139,E07000139 North Kesteven,440,10,0,430
http://statistics.data.gov.uk/id/statistical-geography/E07000140,E07000140 South Holland,170,50,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000141,E07000141 South Kesteven,520,30,0,480
http://statistics.data.gov.uk/id/statistical-geography/E07000142,E07000142 West Lindsey,160,10,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000143,E07000143 Breckland,360,20,0,340
http://statistics.data.gov.uk/id/statistical-geography/E07000144,E07000144 Broadland,230,40,10,170
http://statistics.data.gov.uk/id/statistical-geography/E07000145,E07000145 Great Yarmouth,230,70,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000146,E07000146 King's Lynn and West Norfolk,530,100,0,440
http://statistics.data.gov.uk/id/statistical-geography/E07000147,E07000147 North Norfolk,140,40,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000149,E07000149 South Norfolk,680,110,0,580
http://statistics.data.gov.uk/id/statistical-geography/E07000150,E07000150 Corby,300,20,10,270
http://statistics.data.gov.uk/id/statistical-geography/E07000151,E07000151 Daventry,90,30,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000152,E07000152 East Northamptonshire,240,10,10,220
http://statistics.data.gov.uk/id/statistical-geography/E07000154,E07000154 Northampton,390,120,0,270
http://statistics.data.gov.uk/id/statistical-geography/E07000155,E07000155 South Northamptonshire,200,40,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000156,E07000156 Wellingborough,70,10,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000163,E07000163 Craven,40,0,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000164,E07000164 Hambleton,80,0,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000165,E07000165 Harrogate,70,10,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000166,E07000166 Richmondshire,40,0,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000167,E07000167 Ryedale,190,30,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000168,E07000168 Scarborough,180,20,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000169,E07000169 Selby,270,50,0,230
http://statistics.data.gov.uk/id/statistical-geography/E07000170,E07000170 Ashfield,360,20,0,340
http://statistics.data.gov.uk/id/statistical-geography/E07000171,E07000171 Bassetlaw,300,30,20,240
http://statistics.data.gov.uk/id/statistical-geography/E07000172,E07000172 Broxtowe,120,20,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000174,E07000174 Mansfield,200,10,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000175,E07000175 Newark and Sherwood,290,40,0,250
http://statistics.data.gov.uk/id/statistical-geography/E07000176,E07000176 Rushcliffe,220,30,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000177,E07000177 Cherwell,230,10,0,220
http://statistics.data.gov.uk/id/statistical-geography/E07000178,E07000178 Oxford,170,30,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000179,E07000179 South Oxfordshire,510,190,20,310
http://statistics.data.gov.uk/id/statistical-geography/E07000180,E07000180 Vale of White Horse,390,140,10,240
http://statistics.data.gov.uk/id/statistical-geography/E07000181,E07000181 West Oxfordshire,280,40,0,230
http://statistics.data.gov.uk/id/statistical-geography/E07000187,E07000187 Mendip,370,90,0,290
http://statistics.data.gov.uk/id/statistical-geography/E07000189,E07000189 South Somerset,620,290,0,330
http://statistics.data.gov.uk/id/statistical-geography/E07000190,E07000190 Taunton Deane,410,130,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000191,E07000191 West Somerset,60,20,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000192,E07000192 Cannock Chase,240,80,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000194,E07000194 Lichfield,180,20,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000195,E07000195 Newcastle-under-Lyme,100,10,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000196,E07000196 South Staffordshire,170,10,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000197,E07000197 Stafford,200,20,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000198,E07000198 Staffordshire Moorlands,60,10,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000199,E07000199 Tamworth,40,0,0,40
http://statistics.data.gov.uk/id/statistical-geography/E07000200,E07000200 Babergh,270,20,0,250
http://statistics.data.gov.uk/id/statistical-geography/E07000201,E07000201 Forest Heath,310,60,0,250
http://statistics.data.gov.uk/id/statistical-geography/E07000202,E07000202 Ipswich,50,0,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000203,E07000203 Mid Suffolk,320,90,0,230
http://statistics.data.gov.uk/id/statistical-geography/E07000204,E07000204 St Edmundsbury,110,10,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000205,E07000205 Suffolk Coastal,200,20,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000206,E07000206 Waveney,120,0,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000207,E07000207 Elmbridge,240,20,0,220
http://statistics.data.gov.uk/id/statistical-geography/E07000208,E07000208 Epsom and Ewell,260,130,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000209,E07000209 Guildford,330,0,0,330
http://statistics.data.gov.uk/id/statistical-geography/E07000210,E07000210 Mole Valley,130,30,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000211,E07000211 Reigate and Banstead,420,80,0,340
http://statistics.data.gov.uk/id/statistical-geography/E07000212,E07000212 Runnymede,160,30,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000213,E07000213 Spelthorne,270,90,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000214,E07000214 Surrey Heath,210,50,0,170
http://statistics.data.gov.uk/id/statistical-geography/E07000215,E07000215 Tandridge,180,30,10,150
http://statistics.data.gov.uk/id/statistical-geography/E07000216,E07000216 Waverley,120,50,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000217,E07000217 Woking,150,0,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000218,E07000218 North Warwickshire,30,10,0,20
http://statistics.data.gov.uk/id/statistical-geography/E07000219,E07000219 Nuneaton and Bedworth,210,120,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000220,E07000220 Rugby,220,10,110,100
http://statistics.data.gov.uk/id/statistical-geography/E07000221,E07000221 Stratford-on-Avon,230,70,0,170
http://statistics.data.gov.uk/id/statistical-geography/E07000222,E07000222 Warwick,100,0,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000223,E07000223 Adur,90,30,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000224,E07000224 Arun,480,,10,
http://statistics.data.gov.uk/id/statistical-geography/E07000225,E07000225 Chichester,340,70,0,270
http://statistics.data.gov.uk/id/statistical-geography/E07000226,E07000226 Crawley,60,10,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000227,E07000227 Horsham,490,230,0,260
http://statistics.data.gov.uk/id/statistical-geography/E07000228,E07000228 Mid Sussex,,,0,
http://statistics.data.gov.uk/id/statistical-geography/E07000229,E07000229 Worthing,120,70,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000234,E07000234 Bromsgrove,140,40,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000235,E07000235 Malvern Hills,220,30,0,200
http://statistics.data.gov.uk/id/statistical-geography/E07000236,E07000236 Redditch,30,0,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000237,E07000237 Worcester,270,130,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000238,E07000238 Wychavon,370,110,0,260
http://statistics.data.gov.uk/id/statistical-geography/E08000001,E08000001 Bolton,270,30,0,250
http://statistics.data.gov.uk/id/statistical-geography/E08000002,E08000002 Bury,180,20,0,160
http://statistics.data.gov.uk/id/statistical-geography/E08000003,E08000003 Manchester,510,0,10,510
http://statistics.data.gov.uk/id/statistical-geography/E08000004,E08000004 Oldham,320,150,0,170
http://statistics.data.gov.uk/id/statistical-geography/E08000005,E08000005 Rochdale,680,20,40,630
http://statistics.data.gov.uk/id/statistical-geography/E08000006,E08000006 Salford,340,40,0,300
http://statistics.data.gov.uk/id/statistical-geography/E08000007,E08000007 Stockport,270,20,0,250
http://statistics.data.gov.uk/id/statistical-geography/E08000008,E08000008 Tameside,270,40,0,230
http://statistics.data.gov.uk/id/statistical-geography/E08000010,E08000010 Wigan,320,30,0,290
http://statistics.data.gov.uk/id/statistical-geography/E08000012,E08000012 Liverpool,790,150,0,640
http://statistics.data.gov.uk/id/statistical-geography/E08000013,E08000013 St. Helens,330,120,0,210
http://statistics.data.gov.uk/id/statistical-geography/E08000014,E08000014 Sefton,410,20,0,390
http://statistics.data.gov.uk/id/statistical-geography/E08000015,E08000015 Wirral,150,30,0,120
http://statistics.data.gov.uk/id/statistical-geography/E08000016,E08000016 Barnsley,670,30,0,640
http://statistics.data.gov.uk/id/statistical-geography/E08000017,E08000017 Doncaster,320,10,0,310
http://statistics.data.gov.uk/id/statistical-geography/E08000018,E08000018 Rotherham,500,50,0,450
http://statistics.data.gov.uk/id/statistical-geography/E08000019,E08000019 Sheffield,490,30,0,460
http://statistics.data.gov.uk/id/statistical-geography/E08000020,E08000020 Gateshead,220,10,0,210
http://statistics.data.gov.uk/id/statistical-geography/E08000021,E08000021 Newcastle upon Tyne,320,20,110,180
http://statistics.data.gov.uk/id/statistical-geography/E08000022,E08000022 North Tyneside,430,0,150,280
http://statistics.data.gov.uk/id/statistical-geography/E08000023,E08000023 South Tyneside,210,90,0,120
http://statistics.data.gov.uk/id/statistical-geography/E08000024,E08000024 Sunderland,320,40,0,280
http://statistics.data.gov.uk/id/statistical-geography/E08000025,E08000025 Birmingham,870,110,100,660
http://statistics.data.gov.uk/id/statistical-geography/E08000026,E08000026 Coventry,980,210,0,770
http://statistics.data.gov.uk/id/statistical-geography/E08000027,E08000027 Dudley,500,130,20,360
http://statistics.data.gov.uk/id/statistical-geography/E08000028,E08000028 Sandwell,290,50,0,240
http://statistics.data.gov.uk/id/statistical-geography/E08000029,E08000029 Solihull,290,70,0,220
http://statistics.data.gov.uk/id/statistical-geography/E08000031,E08000031 Wolverhampton,390,80,0,310
http://statistics.data.gov.uk/id/statistical-geography/E08000032,E08000032 Bradford,560,30,0,530
http://statistics.data.gov.uk/id/statistical-geography/E08000033,E08000033 Calderdale,330,80,70,190
http://statistics.data.gov.uk/id/statistical-geography/E08000034,E08000034 Kirklees,590,40,60,480
http://statistics.data.gov.uk/id/statistical-geography/E08000035,E08000035 Leeds,1060,10,0,1050
http://statistics.data.gov.uk/id/statistical-geography/E08000036,E08000036 Wakefield,850,190,0,670
http://statistics.data.gov.uk/id/statistical-geography/E09000001,E09000001 City of London,10,0,0,10
http://statistics.data.gov.uk/id/statistical-geography/E09000002,E09000002 Barking and Dagenham,550,230,60,250
http://statistics.data.gov.uk/id/statistical-geography/E09000003,E09000003 Barnet,,220,0,
http://statistics.data.gov.uk/id/statistical-geography/E09000004,E09000004 Bexley,360,80,0,280
http://statistics.data.gov.uk/id/statistical-geography/E09000006,E09000006 Bromley,600,,,
http://statistics.data.gov.uk/id/statistical-geography/E09000007,E09000007 Camden,420,90,0,330
http://statistics.data.gov.uk/id/statistical-geography/E09000008,E09000008 Croydon,420,90,0,330
http://statistics.data.gov.uk/id/statistical-geography/E09000009,E09000009 Ealing,780,240,150,380
http://statistics.data.gov.uk/id/statistical-geography/E09000010,E09000010 Enfield,330,120,0,200
http://statistics.data.gov.uk/id/statistical-geography/E09000011,E09000011 Greenwich,890,50,0,840
http://statistics.data.gov.uk/id/statistical-geography/E09000012,E09000012 Hackney,1780,850,0,920
http://statistics.data.gov.uk/id/statistical-geography/E09000013,E09000013 Hammersmith and Fulham,170,30,0,140
http://statistics.data.gov.uk/id/statistical-geography/E09000014,E09000014 Haringey,300,70,0,230
http://statistics.data.gov.uk/id/statistical-geography/E09000015,E09000015 Harrow,260,130,0,120
http://statistics.data.gov.uk/id/statistical-geography/E09000016,E09000016 Havering,810,340,0,470
http://statistics.data.gov.uk/id/statistical-geography/E09000017,E09000017 Hillingdon,620,180,20,430
http://statistics.data.gov.uk/id/statistical-geography/E09000018,E09000018 Hounslow,180,30,0,150
http://statistics.data.gov.uk/id/statistical-geography/E09000019,E09000019 Islington,410,110,0,290
