Generated by opendatacommunities.org,2014-03-25T13:48:55+00:00
http://opendatacommunities.org/data/house-building/starts/tenure,"Permanent dwellings started, 2009/10 to 2012/13, England, District By Tenure "
Reference period,2010-2011

,,http://opendatacommunities.org/def/concept/general-concepts/tenure/all,http://opendatacommunities.org/def/concept/general-concepts/tenure/housingAssociations,http://opendatacommunities.org/def/concept/general-concepts/tenure/localAuthority,http://opendatacommunities.org/def/concept/general-concepts/tenure/privateEnterprise
http://statistics.data.gov.uk/id/statistical-geography/E07000097,E07000097 East Hertfordshire,280,130,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000099,E07000099 North Hertfordshire,260,10,0,250
http://statistics.data.gov.uk/id/statistical-geography/E07000101,E07000101 Stevenage,210,70,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000102,E07000102 Three Rivers,180,30,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000103,E07000103 Watford,380,100,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000104,E07000104 Welwyn Hatfield,280,40,0,240
http://statistics.data.gov.uk/id/statistical-geography/E07000105,E07000105 Ashford,330,70,0,270
http://statistics.data.gov.uk/id/statistical-geography/E07000106,E07000106 Canterbury,450,10,0,450
http://statistics.data.gov.uk/id/statistical-geography/E07000107,E07000107 Dartford,170,30,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000108,E07000108 Dover,70,0,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000109,E07000109 Gravesham,170,70,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000110,E07000110 Maidstone,670,280,0,390
http://statistics.data.gov.uk/id/statistical-geography/E07000112,E07000112 Shepway,150,0,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000113,E07000113 Swale,500,40,0,450
http://statistics.data.gov.uk/id/statistical-geography/E07000116,E07000116 Tunbridge Wells,150,40,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000117,E07000117 Burnley,30,0,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000118,E07000118 Chorley,570,30,0,540
http://statistics.data.gov.uk/id/statistical-geography/E07000119,E07000119 Fylde,110,30,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000121,E07000121 Lancaster,150,20,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000122,E07000122 Pendle,60,0,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000123,E07000123 Preston,100,0,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000124,E07000124 Ribble Valley,70,0,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000125,E07000125 Rossendale,100,0,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000126,E07000126 South Ribble,110,0,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000127,E07000127 West Lancashire,140,10,20,110
http://statistics.data.gov.uk/id/statistical-geography/E07000128,E07000128 Wyre,150,10,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000129,E07000129 Blaby,210,20,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000131,E07000131 Harborough,190,10,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000132,E07000132 Hinckley and Bosworth,410,30,0,380
http://statistics.data.gov.uk/id/statistical-geography/E07000133,E07000133 Melton,110,0,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000134,E07000134 North West Leicestershire,450,80,0,370
http://statistics.data.gov.uk/id/statistical-geography/E07000135,E07000135 Oadby and Wigston,80,20,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000136,E07000136 Boston,250,40,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000137,E07000137 East Lindsey,400,50,0,350
http://statistics.data.gov.uk/id/statistical-geography/E07000138,E07000138 Lincoln,220,20,0,200
http://statistics.data.gov.uk/id/statistical-geography/E07000139,E07000139 North Kesteven,250,0,0,240
http://statistics.data.gov.uk/id/statistical-geography/E07000140,E07000140 South Holland,160,110,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000141,E07000141 South Kesteven,470,70,0,400
http://statistics.data.gov.uk/id/statistical-geography/E07000142,E07000142 West Lindsey,310,90,0,230
http://statistics.data.gov.uk/id/statistical-geography/E07000143,E07000143 Breckland,420,0,0,420
http://statistics.data.gov.uk/id/statistical-geography/E07000144,E07000144 Broadland,150,10,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000145,E07000145 Great Yarmouth,150,30,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000146,E07000146 King's Lynn and West Norfolk,370,70,0,290
http://statistics.data.gov.uk/id/statistical-geography/E07000147,E07000147 North Norfolk,200,60,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000148,E07000148 Norwich,140,0,50,100
http://statistics.data.gov.uk/id/statistical-geography/E07000149,E07000149 South Norfolk,560,100,0,470
http://statistics.data.gov.uk/id/statistical-geography/E07000150,E07000150 Corby,610,20,80,510
http://statistics.data.gov.uk/id/statistical-geography/E07000151,E07000151 Daventry,130,20,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000152,E07000152 East Northamptonshire,160,10,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000153,E07000153 Kettering,290,60,0,220
http://statistics.data.gov.uk/id/statistical-geography/E07000154,E07000154 Northampton,270,40,0,230
http://statistics.data.gov.uk/id/statistical-geography/E07000155,E07000155 South Northamptonshire,270,90,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000156,E07000156 Wellingborough,50,20,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000163,E07000163 Craven,120,40,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000164,E07000164 Hambleton,140,20,0,120
http://statistics.data.gov.uk/id/statistical-geography/E07000165,E07000165 Harrogate,110,30,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000166,E07000166 Richmondshire,50,30,0,20
http://statistics.data.gov.uk/id/statistical-geography/E07000167,E07000167 Ryedale,140,20,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000168,E07000168 Scarborough,210,20,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000169,E07000169 Selby,230,10,0,220
http://statistics.data.gov.uk/id/statistical-geography/E07000170,E07000170 Ashfield,320,10,0,310
http://statistics.data.gov.uk/id/statistical-geography/E07000171,E07000171 Bassetlaw,250,10,0,240
http://statistics.data.gov.uk/id/statistical-geography/E07000172,E07000172 Broxtowe,170,70,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000173,E07000173 Gedling,210,40,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000174,E07000174 Mansfield,210,0,40,170
http://statistics.data.gov.uk/id/statistical-geography/E07000175,E07000175 Newark and Sherwood,230,10,30,200
http://statistics.data.gov.uk/id/statistical-geography/E07000176,E07000176 Rushcliffe,290,10,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000177,E07000177 Cherwell,100,10,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000178,E07000178 Oxford,210,,,
http://statistics.data.gov.uk/id/statistical-geography/E07000179,E07000179 South Oxfordshire,360,90,0,270
http://statistics.data.gov.uk/id/statistical-geography/E07000180,E07000180 Vale of White Horse,230,50,0,180
http://statistics.data.gov.uk/id/statistical-geography/E07000181,E07000181 West Oxfordshire,320,120,0,200
http://statistics.data.gov.uk/id/statistical-geography/E07000187,E07000187 Mendip,490,100,0,390
http://statistics.data.gov.uk/id/statistical-geography/E07000189,E07000189 South Somerset,670,320,0,350
http://statistics.data.gov.uk/id/statistical-geography/E07000191,E07000191 West Somerset,40,10,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000192,E07000192 Cannock Chase,110,0,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000194,E07000194 Lichfield,270,10,0,260
http://statistics.data.gov.uk/id/statistical-geography/E07000195,E07000195 Newcastle-under-Lyme,220,70,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000196,E07000196 South Staffordshire,190,0,0,190
http://statistics.data.gov.uk/id/statistical-geography/E07000198,E07000198 Staffordshire Moorlands,70,0,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000199,E07000199 Tamworth,60,0,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000200,E07000200 Babergh,260,10,0,260
http://statistics.data.gov.uk/id/statistical-geography/E07000201,E07000201 Forest Heath,350,70,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000202,E07000202 Ipswich,180,90,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000203,E07000203 Mid Suffolk,310,20,0,290
http://statistics.data.gov.uk/id/statistical-geography/E07000204,E07000204 St Edmundsbury,120,10,0,110
http://statistics.data.gov.uk/id/statistical-geography/E07000205,E07000205 Suffolk Coastal,170,20,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000206,E07000206 Waveney,90,0,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000207,E07000207 Elmbridge,310,50,0,260
http://statistics.data.gov.uk/id/statistical-geography/E07000208,E07000208 Epsom and Ewell,270,70,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000209,E07000209 Guildford,180,30,0,150
http://statistics.data.gov.uk/id/statistical-geography/E07000210,E07000210 Mole Valley,100,0,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000211,E07000211 Reigate and Banstead,300,20,0,280
http://statistics.data.gov.uk/id/statistical-geography/E07000212,E07000212 Runnymede,260,100,0,170
http://statistics.data.gov.uk/id/statistical-geography/E07000213,E07000213 Spelthorne,170,110,0,60
http://statistics.data.gov.uk/id/statistical-geography/E07000214,E07000214 Surrey Heath,200,60,0,140
http://statistics.data.gov.uk/id/statistical-geography/E07000215,E07000215 Tandridge,160,0,0,160
http://statistics.data.gov.uk/id/statistical-geography/E07000216,E07000216 Waverley,70,0,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000217,E07000217 Woking,270,0,0,270
http://statistics.data.gov.uk/id/statistical-geography/E07000218,E07000218 North Warwickshire,70,40,0,20
http://statistics.data.gov.uk/id/statistical-geography/E07000219,E07000219 Nuneaton and Bedworth,240,40,0,210
http://statistics.data.gov.uk/id/statistical-geography/E07000220,E07000220 Rugby,150,10,100,50
http://statistics.data.gov.uk/id/statistical-geography/E07000221,E07000221 Stratford-on-Avon,170,40,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000222,E07000222 Warwick,30,0,0,30
http://statistics.data.gov.uk/id/statistical-geography/E07000223,E07000223 Adur,120,40,0,80
http://statistics.data.gov.uk/id/statistical-geography/E07000224,E07000224 Arun,430,,0,
http://statistics.data.gov.uk/id/statistical-geography/E07000225,E07000225 Chichester,300,80,0,220
http://statistics.data.gov.uk/id/statistical-geography/E07000226,E07000226 Crawley,100,30,0,70
http://statistics.data.gov.uk/id/statistical-geography/E07000227,E07000227 Horsham,140,50,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000228,E07000228 Mid Sussex,500,150,0,350
http://statistics.data.gov.uk/id/statistical-geography/E07000229,E07000229 Worthing,110,10,0,100
http://statistics.data.gov.uk/id/statistical-geography/E07000234,E07000234 Bromsgrove,80,30,0,50
http://statistics.data.gov.uk/id/statistical-geography/E07000235,E07000235 Malvern Hills,180,50,0,130
http://statistics.data.gov.uk/id/statistical-geography/E07000236,E07000236 Redditch,90,0,0,90
http://statistics.data.gov.uk/id/statistical-geography/E07000237,E07000237 Worcester,220,20,0,200
http://statistics.data.gov.uk/id/statistical-geography/E07000238,E07000238 Wychavon,220,80,0,140
http://statistics.data.gov.uk/id/statistical-geography/E08000001,E08000001 Bolton,290,90,0,200
http://statistics.data.gov.uk/id/statistical-geography/E08000002,E08000002 Bury,150,0,0,150
http://statistics.data.gov.uk/id/statistical-geography/E08000003,E08000003 Manchester,830,10,20,800
http://statistics.data.gov.uk/id/statistical-geography/E08000004,E08000004 Oldham,120,10,0,110
http://statistics.data.gov.uk/id/statistical-geography/E08000005,E08000005 Rochdale,250,40,10,200
http://statistics.data.gov.uk/id/statistical-geography/E08000006,E08000006 Salford,480,130,90,260
http://statistics.data.gov.uk/id/statistical-geography/E08000007,E08000007 Stockport,110,10,0,100
http://statistics.data.gov.uk/id/statistical-geography/E08000008,E08000008 Tameside,330,10,0,320
http://statistics.data.gov.uk/id/statistical-geography/E08000009,E08000009 Trafford,270,100,0,160
http://statistics.data.gov.uk/id/statistical-geography/E08000010,E08000010 Wigan,290,30,0,270
http://statistics.data.gov.uk/id/statistical-geography/E08000012,E08000012 Liverpool,730,210,0,520
http://statistics.data.gov.uk/id/statistical-geography/E08000013,E08000013 St. Helens,230,60,0,170
http://statistics.data.gov.uk/id/statistical-geography/E08000014,E08000014 Sefton,420,70,0,350
http://statistics.data.gov.uk/id/statistical-geography/E08000015,E08000015 Wirral,100,10,0,90
http://statistics.data.gov.uk/id/statistical-geography/E08000016,E08000016 Barnsley,810,40,0,770
http://statistics.data.gov.uk/id/statistical-geography/E08000017,E08000017 Doncaster,420,90,0,330
http://statistics.data.gov.uk/id/statistical-geography/E08000018,E08000018 Rotherham,620,80,0,540
http://statistics.data.gov.uk/id/statistical-geography/E08000019,E08000019 Sheffield,630,20,0,610
http://statistics.data.gov.uk/id/statistical-geography/E08000020,E08000020 Gateshead,340,90,0,250
http://statistics.data.gov.uk/id/statistical-geography/E08000021,E08000021 Newcastle upon Tyne,380,60,70,240
http://statistics.data.gov.uk/id/statistical-geography/E08000022,E08000022 North Tyneside,270,0,50,230
http://statistics.data.gov.uk/id/statistical-geography/E08000023,E08000023 South Tyneside,240,90,40,110
http://statistics.data.gov.uk/id/statistical-geography/E08000024,E08000024 Sunderland,540,240,0,300
http://statistics.data.gov.uk/id/statistical-geography/E08000025,E08000025 Birmingham,1030,240,40,750
http://statistics.data.gov.uk/id/statistical-geography/E08000026,E08000026 Coventry,610,140,0,470
http://statistics.data.gov.uk/id/statistical-geography/E08000027,E08000027 Dudley,480,10,0,460
http://statistics.data.gov.uk/id/statistical-geography/E08000028,E08000028 Sandwell,700,90,0,610
http://statistics.data.gov.uk/id/statistical-geography/E08000029,E08000029 Solihull,310,140,0,160
http://statistics.data.gov.uk/id/statistical-geography/E08000030,E08000030 Walsall,470,190,0,280
http://statistics.data.gov.uk/id/statistical-geography/E08000031,E08000031 Wolverhampton,220,50,0,170
http://statistics.data.gov.uk/id/statistical-geography/E08000032,E08000032 Bradford,420,40,0,380
http://statistics.data.gov.uk/id/statistical-geography/E08000033,E08000033 Calderdale,330,10,0,320
http://statistics.data.gov.uk/id/statistical-geography/E08000034,E08000034 Kirklees,670,0,10,670
http://statistics.data.gov.uk/id/statistical-geography/E08000035,E08000035 Leeds,1370,140,10,1220
http://statistics.data.gov.uk/id/statistical-geography/E08000036,E08000036 Wakefield,830,240,0,590
http://statistics.data.gov.uk/id/statistical-geography/E09000001,E09000001 City of London,280,0,0,280
http://statistics.data.gov.uk/id/statistical-geography/E09000002,E09000002 Barking and Dagenham,390,120,30,250
http://statistics.data.gov.uk/id/statistical-geography/E09000003,E09000003 Barnet,510,300,0,210
http://statistics.data.gov.uk/id/statistical-geography/E09000004,E09000004 Bexley,540,170,0,360
http://statistics.data.gov.uk/id/statistical-geography/E09000006,E09000006 Bromley,550,,,
http://statistics.data.gov.uk/id/statistical-geography/E09000007,E09000007 Camden,420,300,0,130
http://statistics.data.gov.uk/id/statistical-geography/E09000008,E09000008 Croydon,430,30,70,330
http://statistics.data.gov.uk/id/statistical-geography/E09000009,E09000009 Ealing,1760,660,60,1050
http://statistics.data.gov.uk/id/statistical-geography/E09000010,E09000010 Enfield,570,320,0,250
http://statistics.data.gov.uk/id/statistical-geography/E09000011,E09000011 Greenwich,570,70,0,500
http://statistics.data.gov.uk/id/statistical-geography/E09000012,E09000012 Hackney,1260,620,40,610
http://statistics.data.gov.uk/id/statistical-geography/E09000013,E09000013 Hammersmith and Fulham,110,10,0,100
http://statistics.data.gov.uk/id/statistical-geography/E09000015,E09000015 Harrow,290,180,0,110
http://statistics.data.gov.uk/id/statistical-geography/E09000016,E09000016 Havering,370,190,0,180
http://statistics.data.gov.uk/id/statistical-geography/E09000017,E09000017 Hillingdon,620,110,30,490
http://statistics.data.gov.uk/id/statistical-geography/E09000018,E09000018 Hounslow,940,530,20,390
http://statistics.data.gov.uk/id/statistical-geography/E09000019,E09000019 Islington,610,280,0,330
http://statistics.data.gov.uk/id/statistical-geography/E09000021,E09000021 Kingston upon Thames,40,30,0,20
